date,active_energy_kcal,active_energy_goal,move_time_min,move_time_goal,exercise_min,exercise_goal,stand_hours,stand_hours_goal
2017-12-03,0.0,0.0,0.0,0.0,0.0,30.0,0,12
2017-12-04,0.0,0.0,0.0,0.0,0.0,30.0,0,12
2018-02-20,0.0,0.0,0.0,0.0,0.0,30.0,0,12
2018-02-21,74.264,1020.0,0.0,0.0,2.0,30.0,3,12
2018-02-22,538.737,1020.0,0.0,0.0,16.0,30.0,18,12
2018-02-23,349.894,1020.0,0.0,0.0,2.0,30.0,14,12
2018-02-24,337.984,1020.0,0.0,0.0,1.0,30.0,17,12
2018-02-25,391.647,1020.0,0.0,0.0,12.0,30.0,15,12
2018-02-26,862.14,1020.0,0.0,0.0,74.0,30.0,18,12
2018-02-27,953.686,1020.0,0.0,0.0,70.0,30.0,17,12
2018-02-28,756.862,1020.0,0.0,0.0,67.0,30.0,15,12
2018-03-01,1032.91,1020.0,0.0,0.0,66.0,30.0,19,12
2018-03-02,903.734,1020.0,0.0,0.0,66.0,30.0,19,12
2018-03-03,332.432,1020.0,0.0,0.0,5.0,30.0,15,12
2018-03-04,382.517,1020.0,0.0,0.0,10.0,30.0,11,12
2018-03-05,794.909,1020.0,0.0,0.0,72.0,30.0,19,12
2018-03-06,967.991,1020.0,0.0,0.0,68.0,30.0,12,12
2018-03-07,956.521,1020.0,0.0,0.0,69.0,30.0,15,12
2018-03-08,1074.22,1020.0,0.0,0.0,101.0,30.0,17,12
2018-03-09,1055.42,1020.0,0.0,0.0,70.0,30.0,19,12
2018-03-10,477.024,1020.0,0.0,0.0,16.0,30.0,15,12
2018-03-11,321.584,1020.0,0.0,0.0,5.0,30.0,16,12
2018-03-12,693.867,1020.0,0.0,0.0,59.0,30.0,18,12
2018-03-13,1036.93,1020.0,0.0,0.0,71.0,30.0,18,12
2018-03-14,420.364,1020.0,0.0,0.0,14.0,30.0,16,12
2018-03-15,493.668,1020.0,0.0,0.0,11.0,30.0,18,12
2018-03-16,955.698,1020.0,0.0,0.0,68.0,30.0,17,12
2018-03-17,390.609,1020.0,0.0,0.0,10.0,30.0,17,12
2018-03-18,441.993,1020.0,0.0,0.0,9.0,30.0,15,12
2018-03-19,376.308,1020.0,0.0,0.0,3.0,30.0,16,12
2018-03-20,1097.28,1020.0,0.0,0.0,75.0,30.0,18,12
2018-03-21,781.392,1020.0,0.0,0.0,45.0,30.0,18,12
2018-03-22,1183.29,1020.0,0.0,0.0,84.0,30.0,17,12
2018-03-23,1057.62,1020.0,0.0,0.0,72.0,30.0,14,12
2018-03-24,350.642,1020.0,0.0,0.0,5.0,30.0,16,12
2018-03-25,464.318,1020.0,0.0,0.0,16.0,30.0,14,12
2018-03-26,1050.6,1020.0,0.0,0.0,59.0,30.0,14,12
2018-03-27,1053.55,1020.0,0.0,0.0,68.0,30.0,17,12
2018-03-28,1048.1,1020.0,0.0,0.0,83.0,30.0,14,12
2018-03-29,360.309,1020.0,0.0,0.0,3.0,30.0,18,12
2018-03-30,473.164,1020.0,0.0,0.0,7.0,30.0,16,12
2018-03-31,538.058,1020.0,0.0,0.0,26.0,30.0,15,12
2018-04-01,371.214,1020.0,0.0,0.0,4.0,30.0,15,12
2018-04-02,1037.43,1020.0,0.0,0.0,89.0,30.0,14,12
2018-04-03,531.754,1020.0,0.0,0.0,28.0,30.0,15,12
2018-04-04,395.489,1020.0,0.0,0.0,10.0,30.0,13,12
2018-04-05,399.291,1020.0,0.0,0.0,8.0,30.0,13,12
2018-04-06,1092.7,1020.0,0.0,0.0,74.0,30.0,15,12
2018-04-07,374.315,1020.0,0.0,0.0,1.0,30.0,17,12
2018-04-08,469.244,1020.0,0.0,0.0,21.0,30.0,17,12
2018-04-09,1091.28,1020.0,0.0,0.0,79.0,30.0,19,12
2018-04-10,1045.88,1020.0,0.0,0.0,75.0,30.0,14,12
2018-04-11,1030.13,1020.0,0.0,0.0,72.0,30.0,17,12
2018-04-12,990.29,1020.0,0.0,0.0,67.0,30.0,19,12
2018-04-13,440.948,1020.0,0.0,0.0,8.0,30.0,15,12
2018-04-14,491.387,1020.0,0.0,0.0,14.0,30.0,19,12
2018-04-15,427.034,1020.0,0.0,0.0,11.0,30.0,15,12
2018-04-16,1109.35,1020.0,0.0,0.0,88.0,30.0,15,12
2018-04-17,1256.2,1020.0,0.0,0.0,94.0,30.0,15,12
2018-04-18,950.296,1020.0,0.0,0.0,75.0,30.0,15,12
2018-04-19,438.283,1020.0,0.0,0.0,27.0,30.0,14,12
2018-04-20,1333.11,1020.0,0.0,0.0,96.0,30.0,20,12
2018-04-21,471.608,1020.0,0.0,0.0,6.0,30.0,18,12
2018-04-22,665.764,1020.0,0.0,0.0,39.0,30.0,16,12
2018-04-23,428.079,1020.0,0.0,0.0,13.0,30.0,16,12
2018-04-24,678.939,1020.0,0.0,0.0,67.0,30.0,16,12
2018-04-25,541.391,1020.0,0.0,0.0,45.0,30.0,16,12
2018-04-26,510.928,1020.0,0.0,0.0,25.0,30.0,17,12
2018-04-27,638.462,1020.0,0.0,0.0,36.0,30.0,18,12
2018-04-28,451.908,1020.0,0.0,0.0,30.0,30.0,11,12
2018-04-29,453.958,1020.0,0.0,0.0,5.0,30.0,16,12
2018-04-30,921.651,1020.0,0.0,0.0,62.0,30.0,14,12
2018-05-01,416.463,1020.0,0.0,0.0,4.0,30.0,15,12
2018-05-02,1308.25,1020.0,0.0,0.0,121.0,30.0,18,12
2018-05-03,1197.1,1020.0,0.0,0.0,98.0,30.0,16,12
2018-05-04,774.293,1020.0,0.0,0.0,59.0,30.0,19,12
2018-05-05,722.072,1020.0,0.0,0.0,60.0,30.0,16,12
2018-05-06,454.172,1020.0,0.0,0.0,16.0,30.0,15,12
2018-05-07,1158.76,1020.0,0.0,0.0,87.0,30.0,18,12
2018-05-08,1189.43,1020.0,0.0,0.0,90.0,30.0,17,12
2018-05-09,511.305,1020.0,0.0,0.0,21.0,30.0,19,12
2018-05-10,1169.17,1020.0,0.0,0.0,75.0,30.0,18,12
2018-05-11,480.283,1020.0,0.0,0.0,13.0,30.0,16,12
2018-05-12,430.782,1020.0,0.0,0.0,8.0,30.0,14,12
2018-05-13,722.499,1020.0,0.0,0.0,42.0,30.0,16,12
2018-05-14,402.201,1020.0,0.0,0.0,5.0,30.0,14,12
2018-05-15,1248.71,1020.0,0.0,0.0,91.0,30.0,18,12
2018-05-16,1104.94,1020.0,0.0,0.0,81.0,30.0,20,12
2018-05-17,502.394,1020.0,0.0,0.0,12.0,30.0,17,12
2018-05-18,582.63,1020.0,0.0,0.0,26.0,30.0,17,12
2018-05-19,525.219,1020.0,0.0,0.0,1.0,30.0,15,12
2018-05-20,404.956,1020.0,0.0,0.0,8.0,30.0,13,12
2018-05-21,1139.71,1020.0,0.0,0.0,74.0,30.0,14,12
2018-05-22,947.177,1020.0,0.0,0.0,59.0,30.0,17,12
2018-05-23,934.769,1020.0,0.0,0.0,60.0,30.0,13,12
2018-05-24,1173.46,1020.0,0.0,0.0,82.0,30.0,15,12
2018-05-25,425.429,1020.0,0.0,0.0,18.0,30.0,16,12
2018-05-26,598.289,1020.0,0.0,0.0,56.0,30.0,16,12
2018-05-27,517.415,1020.0,0.0,0.0,44.0,30.0,16,12
2018-05-28,445.68,1020.0,0.0,0.0,12.0,30.0,16,12
2018-05-29,1034.94,1020.0,0.0,0.0,64.0,30.0,16,12
2018-05-30,1196.97,1020.0,0.0,0.0,92.0,30.0,17,12
2018-05-31,461.106,1020.0,0.0,0.0,10.0,30.0,15,12
2018-06-01,445.709,1020.0,0.0,0.0,9.0,30.0,18,12
2018-06-02,484.602,1020.0,0.0,0.0,10.0,30.0,16,12
2018-06-03,447.612,1020.0,0.0,0.0,2.0,30.0,15,12
2018-06-04,1099.28,1020.0,0.0,0.0,84.0,30.0,16,12
2018-06-05,436.746,1020.0,0.0,0.0,7.0,30.0,17,12
2018-06-06,1072.71,1020.0,0.0,0.0,83.0,30.0,15,12
2018-06-07,436.346,1020.0,0.0,0.0,13.0,30.0,13,12
2018-06-08,1038.16,1020.0,0.0,0.0,68.0,30.0,20,12
2018-06-09,460.206,1020.0,0.0,0.0,9.0,30.0,16,12
2018-06-10,376.413,1020.0,0.0,0.0,4.0,30.0,16,12
2018-06-11,492.813,910.0,0.0,0.0,16.0,30.0,18,12
2018-06-12,1112.22,910.0,0.0,0.0,75.0,30.0,15,12
2018-06-13,1120.39,910.0,0.0,0.0,68.0,30.0,17,12
2018-06-14,557.704,910.0,0.0,0.0,26.0,30.0,20,12
