date,workout_name,exercise,set_type,set_num,weight_lb,reps,seconds,rpe_actual
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press (Machine),working,1,140.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press (Machine),working,2,160.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press (Machine),working,3,180.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press (Machine),working,4,200.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press (Machine),working,5,220.0,4,0,
2024-01-08,Entrenamiento por la tarde noche,Incline Chest Press (Machine),working,1,110.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Incline Chest Press (Machine),working,2,130.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Incline Chest Press (Machine),working,3,150.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Incline Chest Press (Machine),working,4,170.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Incline Chest Press (Machine),working,5,190.0,3,0,
2024-01-08,Entrenamiento por la tarde noche,Shoulder Press (Machine),working,1,60.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Shoulder Press (Machine),working,2,80.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Shoulder Press (Machine),working,3,100.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Shoulder Press (Machine),working,4,120.0,3,0,
2024-01-08,Entrenamiento por la tarde noche,Shoulder Press (Machine),working,5,130.0,3,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press Wide (Machine),working,1,180.0,5,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press Wide (Machine),working,2,160.0,3,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press Wide (Machine),working,3,160.0,3,0,
2024-01-08,Entrenamiento por la tarde noche,Seated Leg Press Wide (Machine),working,4,160.0,3,0,
2024-01-08,Entrenamiento por la tarde noche,Lat Pulldown (Cable),working,1,100.0,5,0,
