date,vo2max,source
2019-10-21,41.76,Apple Watch de FERNANDO A
2020-01-11,41.76,Apple Watch de FERNANDO A
2020-01-11,41.76,Apple Watch de FERNANDO A
2020-02-06,41.76,Apple Watch de FERNANDO A
2020-02-19,43.37,Apple Watch de FERNANDO A
2020-02-27,43.37,Apple Watch de FERNANDO A
2020-04-24,43.37,Apple Watch de FERNANDO A
2020-05-03,43.37,Apple Watch de FERNANDO A
2020-06-04,44.23,Apple Watch de FERNANDO A
2020-06-05,44.23,Apple Watch de FERNANDO A
2020-06-06,44.23,Apple Watch de FERNANDO A
2020-06-08,44.23,Apple Watch de FERNANDO A
2020-06-09,44.23,Apple Watch de FERNANDO A
2020-06-10,44.23,Apple Watch de FERNANDO A
2020-06-11,44.23,Apple Watch de FERNANDO A
2020-06-12,44.23,Apple Watch de FERNANDO A
2020-06-15,44.23,Apple Watch de FERNANDO A
2020-06-17,44.23,Apple Watch de FERNANDO A
2020-06-18,44.23,Apple Watch de FERNANDO A
2020-06-24,41.2,Apple Watch de FERNANDO A
2020-06-25,41.85,Apple Watch de FERNANDO A
2020-06-30,41.53,Apple Watch de FERNANDO A
2020-07-02,41.53,Apple Watch de FERNANDO A
2020-07-09,41.01,Apple Watch de FERNANDO A
2020-07-13,41.25,Apple Watch de FERNANDO A
2020-07-16,41.25,Apple Watch de FERNANDO A
2020-07-20,41.25,Apple Watch de FERNANDO A
2020-07-23,41.25,Apple Watch de FERNANDO A
2020-07-30,41.25,Apple Watch de FERNANDO A
2020-08-27,41.25,Apple Watch de FERNANDO A
2020-09-10,41.25,Apple Watch de FERNANDO A
2020-09-14,41.05,Apple Watch de FERNANDO A
2020-09-17,40.67,Apple Watch de FERNANDO A
2020-09-22,40.09,Apple Watch de FERNANDO A
2020-09-28,41.05,Apple Watch de FERNANDO A
2020-09-30,41.05,Apple Watch de FERNANDO A
2020-10-01,40.48,Apple Watch de FERNANDO A
2020-10-06,40.62,Apple Watch de FERNANDO A
2020-11-04,40.7,Apple Watch de FERNANDO A
2020-12-14,39.01,Apple Watch de FERNANDO A
2021-01-23,38.74,Apple Watch de FERNANDO A
2021-01-27,38.74,Apple Watch de FERNANDO A
2021-01-27,39.07,Apple Watch de FERNANDO A
2021-02-03,39.07,Apple Watch de FERNANDO A
2021-02-06,39.07,Apple Watch de FERNANDO A
2021-02-06,39.01,Apple Watch de FERNANDO A
2021-02-08,39.01,Apple Watch de FERNANDO A
2021-02-21,39.01,Apple Watch de FERNANDO A
2021-02-25,39.2,Apple Watch de FERNANDO A
2021-03-04,39.2,Apple Watch de FERNANDO A
2021-03-05,39.46,Apple Watch de FERNANDO A
2021-03-08,39.7,Apple Watch de FERNANDO A
2021-03-09,39.75,Apple Watch de FERNANDO A
2021-03-17,39.75,Apple Watch de FERNANDO A
2021-03-22,40.2,Apple Watch de FERNANDO A
2021-03-30,40.37,Apple Watch de FERNANDO A
2021-04-08,40.59,Apple Watch de FERNANDO A
2021-04-19,40.59,Apple Watch de FERNANDO A
2021-05-03,40.39,Apple Watch de FERNANDO A
2021-05-13,40.39,Apple Watch de FERNANDO A
2021-05-29,40.72,Apple Watch de FERNANDO A
2021-05-31,40.72,Apple Watch de FERNANDO A
2021-06-08,40.72,Apple Watch de FERNANDO A
2021-06-14,43.38,Apple Watch de FERNANDO A
2021-06-23,43.71,Apple Watch de FERNANDO A
2021-07-07,43.71,Apple Watch de FERNANDO A
2021-07-07,43.71,Apple Watch de FERNANDO A
2021-07-29,44.21,Apple Watch de FERNANDO A
2021-08-10,45.16,Apple Watch de FERNANDO A
2021-09-01,45.16,Apple Watch de FERNANDO A
2021-09-01,45.16,Apple Watch de FERNANDO A
2021-09-06,45.16,Apple Watch de FERNANDO A
2021-09-11,45.04,Apple Watch de FERNANDO A
2021-09-13,45.04,Apple Watch de FERNANDO A
2021-09-22,42.93,Apple Watch de FERNANDO A
2021-09-22,42.93,Apple Watch de FERNANDO A
2021-09-30,43.44,Apple Watch de FERNANDO A
2021-10-06,42.95,Apple Watch de FERNANDO A
2021-10-16,34.96,Apple Watch de FERNANDO
2021-10-21,35.14,Apple Watch de FERNANDO
2021-11-03,37.55,Apple Watch de FERNANDO
2021-11-03,39.34,Apple Watch de FERNANDO
2021-11-10,40.47,Apple Watch de FERNANDO
2021-11-11,41.23,Apple Watch de FERNANDO
2021-12-01,40.45,Apple Watch de FERNANDO
2021-12-15,40.17,Apple Watch de FERNANDO
2021-12-19,40.38,Apple Watch de FERNANDO
2021-12-21,42.16,Apple Watch de FERNANDO
2022-02-09,39.69,Apple Watch de FERNANDO
2022-02-12,41.94,Apple Watch de FERNANDO
2022-02-15,40.96,Apple Watch de FERNANDO
2022-02-16,41.42,Apple Watch de FERNANDO
2022-02-20,42.51,Apple Watch de FERNANDO
2022-02-23,41.9,Apple Watch de FERNANDO
2022-03-01,41.63,Apple Watch de FERNANDO
2022-03-07,41.5,Apple Watch de FERNANDO
2022-03-11,41.57,Apple Watch de FERNANDO
2022-03-24,41.59,Apple Watch de FERNANDO
2022-03-28,41.74,Apple Watch de FERNANDO
2022-03-28,40.94,Apple Watch de FERNANDO
2022-03-31,40.38,Apple Watch de FERNANDO
2022-04-24,40.42,Apple Watch de FERNANDO
2022-04-27,40.03,Apple Watch de FERNANDO
2022-05-11,39.87,Apple Watch de FERNANDO
2022-05-30,39.92,Apple Watch de FERNANDO
2022-06-15,40.09,Apple Watch de FERNANDO
2022-06-23,41.14,Apple Watch de FERNANDO
2022-06-29,42.21,Apple Watch de FERNANDO
2022-06-29,42.78,Apple Watch de FERNANDO
2022-07-05,42.6,Apple Watch de FERNANDO
2022-07-19,42.92,Apple Watch de FERNANDO
2022-08-09,43.01,Apple Watch de FERNANDO
2022-08-09,43.35,Apple Watch de FERNANDO
2022-08-16,44.94,Apple Watch de FERNANDO
2022-08-17,45.05,Apple Watch de FERNANDO
2022-08-21,45.09,Apple Watch de FERNANDO
2022-08-21,45.85,Apple Watch de FERNANDO
2022-08-30,44.45,Apple Watch de FERNANDO
2022-09-07,43.58,Apple Watch de FERNANDO
2022-09-16,42.5,Apple Watch de FERNANDO
2022-10-02,41.6,Apple Watch de FERNANDO
2022-10-10,41.19,Apple Watch de FERNANDO
2022-10-17,42.19,Apple Watch de FERNANDO
2022-10-19,42.17,Apple Watch de FERNANDO
2022-10-31,42.38,Apple Watch de FERNANDO
2022-11-04,42.04,Apple Watch de FERNANDO
2022-11-04,41.94,Apple Watch de FERNANDO
2022-11-19,43.65,Apple Watch de FERNANDO
2022-11-25,44.45,Apple Watch de FERNANDO
2022-12-17,44.95,Apple Watch de FERNANDO
